haul_id	proportion_name	Autumn_%	North_%	Central_%	South_%	Actual_A_count	Actual_N_count	Actual_C_count	Actual_S_count
haul_0367	0A_48N_47C_5S	0	48	47	5	0	14	14	2
haul_0368	0A_48N_47C_5S	0	48	47	5	0	14	14	2
haul_0369	0A_48N_47C_5S	0	48	47	5	0	14	14	2
haul_0370	0A_48N_47C_5S	0	48	47	5	0	14	14	2
haul_0371	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0372	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0373	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0374	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0375	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0376	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0377	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0378	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0379	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0380	0A_50N_50C_0S	0	50	50	0	0	15	15	0
